Date,Consumption (MWh)
2016-10-16 00:00:00,2288275498.0
2016-10-17 00:00:00,2207372456.0
2016-10-18 00:00:00,2241969920.0
2016-10-19 00:00:00,2414787788.0
2016-10-20 00:00:00,2419232658.0
2016-10-21 00:00:00,2446975477.0
2016-10-22 00:00:00,2405064090.0
2016-10-23 00:00:00,2481188733.0
2016-10-24 00:00:00,2586418417.0
2016-10-25 00:00:00,2525507907.0
2016-10-26 00:00:00,2439917923.0
2016-10-27 00:00:00,2336034364.0
2016-10-28 00:00:00,2270716011.0
2016-10-29 00:00:00,2297302012.0
2016-10-30 00:00:00,2299507291.0
2016-10-31 00:00:00,2382574561.0
2016-11-01 00:00:00,2635520459.0
2016-11-02 00:00:00,2908837595.0
2016-11-03 00:00:00,3031082899.0
2016-11-04 00:00:00,2836228065.0
2016-11-05 00:00:00,2631919497.0
2016-11-06 00:00:00,2874517881.0
2016-11-07 00:00:00,3281310622.0
2016-11-08 00:00:00,3449981791.0
2016-11-09 00:00:00,3321891528.0
2016-11-10 00:00:00,3262487609.0
2016-11-11 00:00:00,3119131684.0
2016-11-12 00:00:00,2841107967.0
2016-11-13 00:00:00,2901352179.0
2016-11-14 00:00:00,2862543675.0
2016-11-15 00:00:00,2705534109.0
2016-11-16 00:00:00,2737238890.0
2016-11-17 00:00:00,3111167642.0
2016-11-18 00:00:00,3307054635.0
2016-11-19 00:00:00,3165868409.0
2016-11-20 00:00:00,3312465316.0
2016-11-21 00:00:00,3255634474.0
2016-11-22 00:00:00,3151480468.0
2016-11-23 00:00:00,3246759980.0
2016-11-24 00:00:00,3256042092.0
2016-11-25 00:00:00,3261799635.0
2016-11-26 00:00:00,3284976352.0
2016-11-27 00:00:00,3233239171.0
2016-11-28 00:00:00,3366948539.0
2016-11-29 00:00:00,3795272308.0
2016-11-30 00:00:00,3755054978.0
2016-12-01 00:00:00,3628180687.0
2016-12-02 00:00:00,3473495924.0
2016-12-03 00:00:00,3284907413.0
2016-12-04 00:00:00,3366293364.0
2016-12-05 00:00:00,3888055600.0
2016-12-06 00:00:00,3507396122.0
2016-12-07 00:00:00,2832670710.0
2016-12-08 00:00:00,2926673099.0
2016-12-09 00:00:00,2641577497.0
2016-12-10 00:00:00,2825472126.0
2016-12-11 00:00:00,3047988528.0
2016-12-12 00:00:00,3321609076.0
2016-12-13 00:00:00,3079708094.0
2016-12-14 00:00:00,2942508502.0
2016-12-15 00:00:00,3034087266.0
2016-12-16 00:00:00,3024181747.0
