Year,Month,Day,Hour,,,Ro
2013,1,14,20, , ,0.428780843661847
2013,1,14,21, , ,0.849876528034699
2013,1,14,22, , ,1.1204611690381328
2013,1,14,23, , ,1.0696751901507262
2013,1,15,0, , ,0.7355787216878711
2013,1,15,1, , ,0.2527943989458993
2013,1,15,2, , ,0.45407711784109706
2013,1,15,3, , ,0.9701886843665699
2013,1,15,4, , ,1.304651682126626
2013,1,15,5, , ,1.2841784481492524
2013,1,15,6, , ,0.960133874891282
2013,1,15,7, , ,0.4895467412796904
2013,1,15,8, , ,0.3508518331535545
2013,1,15,9, , ,0.793958500379055
2013,1,15,10, , ,1.1399846653565717
2013,1,15,11, , ,1.206219389792925
2013,1,15,12, , ,0.9363386423038303
2013,1,15,13, , ,0.4630421481670514
2013,1,15,14, , ,0.22557705246110987
2013,1,15,15, , ,0.7603420725197166
2013,1,15,16, , ,1.174955379183656
2013,1,15,17, , ,1.3288751152951923
2013,1,15,18, , ,1.1100040683517838
2013,1,15,19, , ,0.6714313519823205
2013,1,15,20, , ,0.25143190839015556
2013,1,15,21, , ,0.6087569516997186
2013,1,15,22, , ,1.0574923164883836
2013,1,15,23, , ,1.2742076455648077
2013,1,16,0, , ,1.117387140698371
2013,1,16,1, , ,0.7323128179951734
2013,1,16,2, , ,0.24583735631646764
2013,1,16,3, , ,0.39838926986617684
2013,1,16,4, , ,0.8253060543504824
2013,1,16,5, , ,1.0487945810556638
2013,1,16,6, , ,0.9922646507477677
2013,1,16,7, , ,0.650775705730914
2013,1,16,8, , ,0.2122286534105806
2013,1,16,9, , ,0.5269354990067272
2013,1,16,10, , ,0.987555120105595
2013,1,16,11, , ,1.2582373010902004
2013,1,16,12, , ,1.1680274989823196
2013,1,16,13, , ,0.8227198986602289
2013,1,16,14, , ,0.3432856213843039
2013,1,16,15, , ,0.27060119101296803
2013,1,16,16, , ,0.7422950970834813
2013,1,16,17, , ,1.0473514554120036
2013,1,16,18, , ,1.1034501407326023
2013,1,16,19, , ,0.8741653290632261
2013,1,16,20, , ,0.43179279136900856
2013,1,16,21, , ,0.26987591370900155
2013,1,16,22, , ,0.7208356413768651
2013,1,16,23, , ,1.0802134529037095
2013,1,17,0, , ,1.1905444705433463
2013,1,17,1, , ,0.9595207775636544
2013,1,17,2, , ,0.5635601665494657
2013,1,17,3, , ,0.10678015151531983
2013,1,17,4, , ,0.43047533919911335
2013,1,17,5, , ,0.7678313733926428
2013,1,17,6, , ,0.888172330725982
2013,1,17,7, , ,0.754129970387265
2013,1,17,8, , ,0.4016777648315904
2013,1,17,9, , ,0.2074608468206543
2013,1,17,10, , ,0.648074856972426
2013,1,17,11, , ,1.02254643625639
2013,1,17,12, , ,1.183471629328176
2013,1,17,13, , ,1.0383512034849063
2013,1,17,14, , ,0.700931562853503
2013,1,17,15, , ,0.24869661912163574
2013,1,17,16, , ,0.28441696749286777
2013,1,17,17, , ,0.6699649849859786
2013,1,17,18, , ,0.8729794249424575
2013,1,17,19, , ,0.8353042001494594
2013,1,17,20, , ,0.5676909685179078
2013,1,17,21, , ,0.1747255052186161
2013,1,17,22, , ,0.3952366640988704
2013,1,17,23, , ,0.7938192760962829
2013,1,18,0, , ,1.0463432323013766
2013,1,18,1, , ,1.0481379698872475
2013,1,18,2, , ,0.8209896652612879
2013,1,18,3, , ,0.450288827668349
2013,1,18,4, , ,0.08302409718132871
2013,1,18,5, , ,0.40733894412619154
2013,1,18,6, , ,0.6513102459232963
2013,1,18,7, , ,0.6928701747744016
2013,1,18,8, , ,0.5250152736372985
2013,1,18,9, , ,0.20147953458003048
2013,1,18,10, , ,0.2703128027606666
2013,1,18,11, , ,0.6413002496472612
2013,1,18,12, , ,0.9037931409203092
2013,1,18,13, , ,0.9730021050874422
2013,1,18,14, , ,0.8241147034128934
2013,1,18,15, , ,0.5115251914783079
2013,1,18,16, , ,0.13453624397073602
2013,1,18,17, , ,0.3320542279844252
2013,1,18,18, , ,0.6216309676978923
2013,1,18,19, , ,0.7451530404161548
2013,1,18,20, , ,0.6667053666195925
2013,1,18,21, , ,0.4072407203137963
2013,1,18,22, , ,0.08228001374700675
2013,1,18,23, , ,0.3948480879768376
2013,1,19,0, , ,0.716862655212752
2013,1,19,1, , ,0.8971092612000623
2013,1,19,2, , ,0.86683337363321
2013,1,19,3, , ,0.6423931934957718
2013,1,19,4, , ,0.31319803696817455
2013,1,19,5, , ,0.10837435427806642
2013,1,19,6, , ,0.39515315496696557
2013,1,19,7, , ,0.5698070213054078
2013,1,19,8, , ,0.5790095006611292
2013,1,19,9, , ,0.4212173003525467
2013,1,19,10, , ,0.1300499967094754
2013,1,19,11, , ,0.23210774319568525
2013,1,19,12, , ,0.5454842309359642
2013,1,19,13, , ,0.757214001506166
2013,1,19,14, , ,0.8092725281109331
2013,1,19,15, , ,0.6703805185729156
2013,1,19,16, , ,0.3778094844177153
2013,1,19,17, , ,0.07550496777712837
2013,1,19,18, , ,0.330588891537881
2013,1,19,19, , ,0.562427793361186
2013,1,19,20, , ,0.6505766749230837
2013,1,19,21, , ,0.576896031356718
2013,1,19,22, , ,0.3526258919937705
2013,1,19,23, , ,0.04103657051855756
2013,1,20,0, , ,0.30761177576542437
2013,1,20,1, , ,0.5763471524669167
2013,1,20,2, , ,0.7231355832212805
2013,1,20,3, , ,0.7062499987794669
2013,1,20,4, , ,0.5199173209194268
2013,1,20,5, , ,0.23145842502736966
2013,1,20,6, , ,0.11764353217582199
2013,1,20,7, , ,0.3694441920129176
2013,1,20,8, , ,0.5176069978212663
2013,1,20,9, , ,0.5278882731886768
2013,1,20,10, , ,0.3958396338221495
2013,1,20,11, , ,0.1456743049527346
2013,1,20,12, , ,0.15953057062469578
2013,1,20,13, , ,0.43925619998864907
2013,1,20,14, , ,0.6320126871887723
2013,1,20,15, , ,0.6908871680489278
2013,1,20,16, , ,0.5955451828764073
2013,1,20,17, , ,0.36037343669930094
2013,1,20,18, , ,0.08840814551272887
2013,1,20,19, , ,0.243238582833706
2013,1,20,20, , ,0.44124937112725604
2013,1,20,21, , ,0.5210806455265553
2013,1,20,22, , ,0.4684122372585071
2013,1,20,23, , ,0.291152881684513
2013,1,21,0, , ,0.02863564265733125
2013,1,21,1, , ,0.2522399691998637
2013,1,21,2, , ,0.48108422822095404
2013,1,21,3, , ,0.6090993622752162
2013,1,21,4, , ,0.6030166411285668
2013,1,21,5, , ,0.4561272014510963
2013,1,21,6, , ,0.2128121282873955
2013,1,21,7, , ,0.09021087119652685
2013,1,21,8, , ,0.3303119920691503
2013,1,21,9, , ,0.4872217260062714
2013,1,21,10, , ,0.5358302490365945
2013,1,21,11, , ,0.46125481873117047
2013,1,21,12, , ,0.2741477892148823
2013,1,21,13, , ,0.023706540985933975
2013,1,21,14, , ,0.239754048219072
2013,1,21,15, , ,0.4390728973834144
2013,1,21,16, , ,0.5372383088876311
2013,1,21,17, , ,0.507772615983459
2013,1,21,18, , ,0.3502799119295893
2013,1,21,19, , ,0.10630146433724665
2013,1,21,20, , ,0.16710776027534238
2013,1,21,21, , ,0.39048306262745414
2013,1,21,22, , ,0.5029284711868562
2013,1,21,23, , ,0.4832690992650739
2013,1,22,0, , ,0.34137518071477546
2013,1,22,1, , ,0.1013163398295055
2013,1,22,2, , ,0.18245548336670472
2013,1,22,3, , ,0.4373705587546582
2013,1,22,4, , ,0.6090131633277044
2013,1,22,5, , ,0.6556866939889894
2013,1,22,6, , ,0.5628019680732274
2013,1,22,7, , ,0.34098828200933007
2013,1,22,8, , ,0.08500000461935997
2013,1,22,9, , ,0.2341644818040007
2013,1,22,10, , ,0.4222629612957048
2013,1,22,11, , ,0.4981907453547338
2013,1,22,12, , ,0.4400909119070074
2013,1,22,13, , ,0.2594706234750026
2013,1,22,14, , ,0.027202941641937328
2013,1,22,15, , ,0.29033775582509075
2013,1,22,16, , ,0.5204652171174531
2013,1,22,17, , ,0.644572733480023
2013,1,22,18, , ,0.6322475864617743
2013,1,22,19, , ,0.4780376921786565
2013,1,22,20, , ,0.20976415875652343
2013,1,22,21, , ,0.12440257408577615
2013,1,22,22, , ,0.3633689701868002
2013,1,22,23, , ,0.507358857121247
2013,1,23,0, , ,0.5162141066459629
2013,1,23,1, , ,0.38638065777346053
2013,1,23,2, , ,0.14103191390508357
2013,1,23,3, , ,0.1649242366981281
2013,1,23,4, , ,0.44570171271392145
2013,1,23,5, , ,0.6434112282768418
2013,1,23,6, , ,0.7112538477821223
2013,1,23,7, , ,0.620100828899972
2013,1,23,8, , ,0.3922958140836539
2013,1,23,9, , ,0.1097132634633006
2013,1,23,10, , ,0.2583118358647828
2013,1,23,11, , ,0.48316045747556796
2013,1,23,12, , ,0.5819218438143914
2013,1,23,13, , ,0.529340203856671
2013,1,23,14, , ,0.3319427961345115
2013,1,23,15, , ,0.040224371666146896
2013,1,23,16, , ,0.2967086114124555
2013,1,23,17, , ,0.5613929596748657
2013,1,23,18, , ,0.7043756658488333
2013,1,23,19, , ,0.685186146888348
2013,1,23,20, , ,0.4975791628696945
2013,1,23,21, , ,0.21011664606844807
2013,1,23,22, , ,0.19890953352825774
2013,1,23,23, , ,0.47371408346633204
2013,1,24,0, , ,0.6425574197845701
2013,1,24,1, , ,0.6488590058292992
2013,1,24,2, , ,0.4851927724478327
2013,1,24,3, , ,0.17904748090274808
2013,1,24,4, , ,0.20796394307709565
2013,1,24,5, , ,0.551678360313878
2013,1,24,6, , ,0.7880057578458418
2013,1,24,7, , ,0.851678941146201
2013,1,24,8, , ,0.695258963242152
2013,1,24,9, , ,0.3847350034167552
2013,1,24,10, , ,0.09700515736358276
2013,1,24,11, , ,0.36964038618845807
2013,1,24,12, , ,0.6128882761479557
2013,1,24,13, , ,0.6988275955582005
2013,1,24,14, , ,0.6040737158764736
2013,1,24,15, , ,0.3399956046504031
2013,1,24,16, , ,0.09004998840636966
2013,1,24,17, , ,0.45070835047625446
2013,1,24,18, , ,0.75665387257139
2013,1,24,19, , ,0.9040199551535427
2013,1,24,20, , ,0.835733249138669
2013,1,24,21, , ,0.5536650990092653
2013,1,24,22, , ,0.19767651745527529
2013,1,24,23, , ,0.2325446367059323
2013,1,25,0, , ,0.5308577992408164
2013,1,25,1, , ,0.6752903122956495
2013,1,25,2, , ,0.6208252620585406
2013,1,25,3, , ,0.3753571891868712
2013,1,25,4, , ,0.11162885628529062
2013,1,25,5, , ,0.4686800820165111
2013,1,25,6, , ,0.8165794674496313
2013,1,25,7, , ,1.0083635679736371
2013,1,25,8, , ,0.9580084145907087
2013,1,25,9, , ,0.7078990471103463
2013,1,25,10, , ,0.3310619372780232
2013,1,25,11, , ,0.14484475478448294
2013,1,25,12, , ,0.5069803022162923
2013,1,25,13, , ,0.7361555739355663
2013,1,25,14, , ,0.7570740274216065
2013,1,25,15, , ,0.5596043397680377
2013,1,25,16, , ,0.21609258004104223
2013,1,25,17, , ,0.3083845115531514
2013,1,25,18, , ,0.6993783332210071
2013,1,25,19, , ,0.9733761120668978
2013,1,25,20, , ,1.0371085404271236
2013,1,25,21, , ,0.8410000333941223
2013,1,25,22, , ,0.4139432593163429
2013,1,25,23, , ,0.131529469285178
2013,1,26,0, , ,0.5998341727571096
2013,1,26,1, , ,0.9314558958367826
2013,1,26,2, , ,1.0488303051797665
2013,1,26,3, , ,0.9000139245459242
2013,1,26,4, , ,0.5510036764370592
2013,1,26,5, , ,0.20397304081483783
2013,1,26,6, , ,0.44996890662960426
2013,1,26,7, , ,0.7733363291689257
2013,1,26,8, , ,0.9203967090438323
2013,1,26,9, , ,0.8220055011371233
2013,1,26,10, , ,0.5018446233472067
2013,1,26,11, , ,0.09679876221917624
2013,1,26,12, , ,0.4144068104178003
2013,1,26,13, , ,0.7745431187400432
2013,1,26,14, , ,0.9509585245833827
2013,1,26,15, , ,0.879056948695522
2013,1,26,16, , ,0.5637242768656074
2013,1,26,17, , ,0.19616321295752928
2013,1,26,18, , ,0.4982308858462831
2013,1,26,19, , ,0.9006886621141743
2013,1,26,20, , ,1.120700776797552
2013,1,26,21, , ,1.0480234748759083
2013,1,26,22, , ,0.7535443519383013
2013,1,26,23, , ,0.3240756326661156
2013,1,27,0, , ,0.19577794476921132
2013,1,27,1, , ,0.6034318892115875
2013,1,27,2, , ,0.8468536169521179
2013,1,27,3, , ,0.8510005985111658
2013,1,27,4, , ,0.6072899178187837
2013,1,27,5, , ,0.25220032762380284
2013,1,27,6, , ,0.4368489737806561
2013,1,27,7, , ,0.8164686507644277
2013,1,27,8, , ,1.048962353929519
2013,1,27,9, , ,1.034812582525456
2013,1,27,10, , ,0.7664757332837147
2013,1,27,11, , ,0.31421331903344335
2013,1,27,12, , ,0.23928226401482977
2013,1,27,13, , ,0.7164802987943281
2013,1,27,14, , ,1.0318454314448395
2013,1,27,15, , ,1.0973295609328841
2013,1,27,16, , ,0.888642247078453
2013,1,27,17, , ,0.4963638070169498
2013,1,27,18, , ,0.2726243035929808
2013,1,27,19, , ,0.6397257764448224
2013,1,27,20, , ,0.966832512948452
2013,1,27,21, , ,1.0604272877925742
2013,1,27,22, , ,0.8697045651679204
2013,1,27,23, , ,0.46871956230409667
2013,1,28,0, , ,0.10153325026653148
2013,1,28,1, , ,0.5945435682310428
2013,1,28,2, , ,0.9807778103336494
2013,1,28,3, , ,1.1389140401252744
2013,1,28,4, , ,0.9901823755993223
2013,1,28,5, , ,0.6061105649690148
2013,1,28,6, , ,0.2565385044678611
2013,1,28,7, , ,0.581377719465158
2013,1,28,8, , ,0.972148718826244
2013,1,28,9, , ,1.1557478794315803
2013,1,28,10, , ,1.0303034439681829
2013,1,28,11, , ,0.6830666733592566
2013,1,28,12, , ,0.2136001007835392
2013,1,28,13, , ,0.36401786150345355
2013,1,28,14, , ,0.772860939095326
2013,1,28,15, , ,0.9807762553386704
2013,1,28,16, , ,0.9180441590287969
2013,1,28,17, , ,0.6067833507098934
2013,1,28,18, , ,0.24734793902312158
2013,1,28,19, , ,0.5284174844164695
